Data; Strefa; Wartość kWh;Rodzaj;
2025-07-13 18:00;T1;1,413;oddana po zbilansowaniu;
2025-07-13 19:00;T1;0,163;oddana po zbilansowaniu;
2025-07-13 20:00;T1;0,086;oddana po zbilansowaniu;
2025-07-13 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 23:00;T1;0,000;oddana po zbilansowaniu;
2025-07-13 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-14 1:00;T1;0,001;oddana po zbilansowaniu;
2025-07-14 2:00;T1;0,001;oddana po zbilansowaniu;
2025-07-14 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-14 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-14 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-14 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-14 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-14 8:00;T1;0,718;oddana po zbilansowaniu;
2025-07-14 9:00;T1;1,651;oddana po zbilansowaniu;
2025-07-14 10:00;T1;2,008;oddana po zbilansowaniu;
2025-07-14 11:00;T1;2,428;oddana po zbilansowaniu;
2025-07-14 12:00;T1;2,738;oddana po zbilansowaniu;
2025-07-14 13:00;T1;2,707;oddana po zbilansowaniu;
2025-07-14 14:00;T1;2,798;oddana po zbilansowaniu;
2025-07-14 15:00;T1;2,613;oddana po zbilansowaniu;
2025-07-14 16:00;T1;1,694;oddana po zbilansowaniu;
2025-07-14 17:00;T1;1,755;oddana po zbilansowaniu;
2025-07-14 18:00;T1;1,281;oddana po zbilansowaniu;
2025-07-14 19:00;T1;1,060;oddana po zbilansowaniu;
2025-07-14 20:00;T1;0,225;oddana po zbilansowaniu;
2025-07-14 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-14 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-14 23:00;T1;0,001;oddana po zbilansowaniu;
2025-07-14 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-15 1:00;T1;0,001;oddana po zbilansowaniu;
2025-07-15 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-15 3:00;T1;0,001;oddana po zbilansowaniu;
2025-07-15 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-15 5:00;T1;0,002;oddana po zbilansowaniu;
2025-07-15 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-15 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-15 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-15 9:00;T1;0,001;oddana po zbilansowaniu;
2025-07-15 10:00;T1;0,255;oddana po zbilansowaniu;
2025-07-15 11:00;T1;2,290;oddana po zbilansowaniu;
2025-07-15 12:00;T1;2,344;oddana po zbilansowaniu;
2025-07-15 13:00;T1;2,980;oddana po zbilansowaniu;
2025-07-15 14:00;T1;2,914;oddana po zbilansowaniu;
2025-07-15 15:00;T1;1,678;oddana po zbilansowaniu;
2025-07-15 16:00;T1;0,805;oddana po zbilansowaniu;
2025-07-15 17:00;T1;0,492;oddana po zbilansowaniu;
2025-07-15 18:00;T1;0,410;oddana po zbilansowaniu;
2025-07-15 19:00;T1;0,105;oddana po zbilansowaniu;
2025-07-15 20:00;T1;0,000;oddana po zbilansowaniu;
2025-07-15 21:00;T1;0,956;oddana po zbilansowaniu;
2025-07-15 22:00;T1;0,887;oddana po zbilansowaniu;
2025-07-15 23:00;T1;0,851;oddana po zbilansowaniu;
2025-07-15 24:00;T1;0,002;oddana po zbilansowaniu;
2025-07-16 1:00;T1;0,001;oddana po zbilansowaniu;
2025-07-16 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-16 3:00;T1;0,001;oddana po zbilansowaniu;
2025-07-16 4:00;T1;0,001;oddana po zbilansowaniu;
2025-07-16 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-16 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-16 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-16 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-16 9:00;T1;0,002;oddana po zbilansowaniu;
2025-07-16 10:00;T1;0,046;oddana po zbilansowaniu;
2025-07-16 11:00;T1;1,101;oddana po zbilansowaniu;
2025-07-16 12:00;T1;1,484;oddana po zbilansowaniu;
2025-07-16 13:00;T1;2,089;oddana po zbilansowaniu;
2025-07-16 14:00;T1;1,121;oddana po zbilansowaniu;
2025-07-16 15:00;T1;1,316;oddana po zbilansowaniu;
2025-07-16 16:00;T1;1,805;oddana po zbilansowaniu;
2025-07-16 17:00;T1;2,186;oddana po zbilansowaniu;
2025-07-16 18:00;T1;0,848;oddana po zbilansowaniu;
2025-07-16 19:00;T1;0,713;oddana po zbilansowaniu;
2025-07-16 20:00;T1;0,203;oddana po zbilansowaniu;
2025-07-16 21:00;T1;0,712;oddana po zbilansowaniu;
2025-07-16 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-16 23:00;T1;0,546;oddana po zbilansowaniu;
2025-07-16 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 3:00;T1;0,002;oddana po zbilansowaniu;
2025-07-17 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 9:00;T1;0,001;oddana po zbilansowaniu;
2025-07-17 10:00;T1;0,001;oddana po zbilansowaniu;
2025-07-17 11:00;T1;0,000;oddana po zbilansowaniu;
2025-07-17 12:00;T1;0,002;oddana po zbilansowaniu;
2025-07-17 13:00;T1;0,005;oddana po zbilansowaniu;
2025-07-17 14:00;T1;0,664;oddana po zbilansowaniu;
2025-07-17 15:00;T1;1,170;oddana po zbilansowaniu;
2025-07-17 16:00;T1;0,503;oddana po zbilansowaniu;
2025-07-17 17:00;T1;0,780;oddana po zbilansowaniu;
2025-07-17 18:00;T1;0,348;oddana po zbilansowaniu;
2025-07-17 19:00;T1;0,061;oddana po zbilansowaniu;
2025-07-17 20:00;T1;0,071;oddana po zbilansowaniu;
2025-07-17 21:00;T1;0,288;oddana po zbilansowaniu;
2025-07-17 22:00;T1;0,227;oddana po zbilansowaniu;
2025-07-17 23:00;T1;0,634;oddana po zbilansowaniu;
2025-07-17 24:00;T1;0,001;oddana po zbilansowaniu;
2025-07-18 1:00;T1;0,001;oddana po zbilansowaniu;
2025-07-18 2:00;T1;0,001;oddana po zbilansowaniu;
2025-07-18 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-18 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-18 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-18 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-18 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-18 8:00;T1;0,001;oddana po zbilansowaniu;
2025-07-18 9:00;T1;0,000;oddana po zbilansowaniu;
2025-07-18 10:00;T1;1,673;oddana po zbilansowaniu;
2025-07-18 11:00;T1;2,391;oddana po zbilansowaniu;
2025-07-18 12:00;T1;2,545;oddana po zbilansowaniu;
2025-07-18 13:00;T1;1,347;oddana po zbilansowaniu;
2025-07-18 14:00;T1;2,342;oddana po zbilansowaniu;
2025-07-18 15:00;T1;2,713;oddana po zbilansowaniu;
2025-07-18 16:00;T1;0,941;oddana po zbilansowaniu;
2025-07-18 17:00;T1;1,267;oddana po zbilansowaniu;
2025-07-18 18:00;T1;1,149;oddana po zbilansowaniu;
2025-07-18 19:00;T1;0,828;oddana po zbilansowaniu;
2025-07-18 20:00;T1;0,163;oddana po zbilansowaniu;
2025-07-18 21:00;T1;0,943;oddana po zbilansowaniu;
2025-07-18 22:00;T1;0,354;oddana po zbilansowaniu;
2025-07-18 23:00;T1;0,001;oddana po zbilansowaniu;
2025-07-18 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-19 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-19 2:00;T1;0,002;oddana po zbilansowaniu;
